"Dataset","Words Analysed","Variable","Mean","SD","Range","IQR"
NA,NA,"nAdj","0.6","1.1","0 - 9","0 - 1"
NA,NA,"nAdv","0.1","0.5","0 - 10","0 - 0"
NA,NA,"Conc","3.1","1.22","1.19 - 5","2 - 4.32"
NA,NA,"SemD","1.63","0.31","0.36 - 2.41","1.43 - 1.86"
NA,NA,"SubCD","2.23","0.52","1 - 3.9","1.83 - 2.54"
NA,NA,"MemCD","475.15","346.96","32.47 - 2282.52","224.92 - 619.5"
NA,NA,"logWF","0.8","0.49","0.3 - 3.04","0.43 - 1.03"
NA,NA,"nLet","7.5","1.9","3 - 14","6 - 9"
NA,NA,"nSyll","2.5","0.9","1 - 6","2 - 3"
NA,NA,"pld20","2.59","0.94","1 - 7.1","1.85 - 3.2"
NA,NA,"old20","3","1","1 - 7","2 - 3"
NA,NA,"posUni","1307","505","55 - 3308","971 - 1625"
NA,NA,"posBi","189","158","3 - 986","96 - 217"
